Zipcode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean,Max,PopDensity,Area,InstalledCapacity,Average Price per Plot Size Unit,Potential Capacity,Difference in Capacity,Land required,Total Cost
93926,4.3,4.7,5.2,5.9,6.6,6.7,5.9,5.2,4.8,4.5,4.3,4.4,5.208333333,6.7,127.62,73.64,3.55,4480000,78.94314073,75.39314073,0.1178017824,98538834.93
93927,4.3,4.7,5.2,5.9,6.6,6.7,5.9,5.2,4.8,4.5,4.3,4.4,5.208333333,6.7,81.6,229.52,1.85,336967040,246.0487461,244.1987461,0.3815605407,446031695.9
93960,4.3,4.7,5.2,5.9,6.6,6.7,5.9,5.2,4.8,4.5,4.3,4.4,5.208333333,6.7,127.11,214.7,10.89,2681054720,230.1614926,219.2714926,0.3426117072,1203613675
94514,8.3,8.6,9,9.3,9.6,9.4,8.6,8.2,7.6,7.3,7.9,8.6,8.533333333,9.6,21.88,54.71,166.56,1014026240,58.64990806,-107.9100919,0.09164048134,169170733.2
94534,8.3,8.6,9,9.3,9.6,9.4,8.6,8.2,7.6,7.3,7.9,8.6,8.533333333,9.6,500.14,78.35,1.5,1095512320,83.99232857,82.49232857,0.1288942634,248445280.7
94551,6.2,6.7,7.2,8,8.9,9.5,9.3,8.7,7.6,6.6,6.4,6.5,7.633333333,9.5,653.22,62.35,78.2,2658074880,66.84009811,-11.35990189,0.1044376533,364495230.3
94571,6.2,6.5,6.3,6.3,6.6,6.9,7.1,6.8,5.8,5.3,5.9,6.5,6.35,7.1,55.17,166.92,744.3,1482601600,178.9406444,-565.3593556,0.2795947569,647150471.6
94585,6.2,6.5,6.3,6.3,6.6,6.9,7.1,6.8,5.8,5.3,5.9,6.5,6.35,7.1,230.26,128.79,252.5,866736640,138.0647351,-114.4352649,0.2157261486,366461912.8
94947,8.3,8.6,9,9.3,9.6,9.4,8.6,8.2,7.6,7.3,7.9,8.6,8.533333333,9.6,1250.79,20.36,0.225,4048000000,21.82621327,21.60121327,0.03375189574,164709251.2
95023,6.3,6.6,6.9,7.3,7.8,8,7.6,7.1,6.4,6,6.3,6.6,6.908333333,8,87.16,601.29,17.03,2624612480,644.5915411,627.5615411,0.980564908,3389432899
95620,6.3,6.6,6.9,7.3,7.8,8,7.6,7.1,6.4,6,6.3,6.6,6.908333333,8,96.88,229.25,1,180845440,245.7593022,244.7593022,0.3824364097,387348973.6
